id,host_since,property_type,room_type,price,number_of_reviews,review_scores_rating,reviews_per_month
8596056,9/6/14,Apartment,Private room,$40.00,3,80,3
8569523,5/5/12,Apartment,Entire home/apt,$250.00,1,80,1
5395919,2/10/12,House,Private room,$100.00,1,80,0.51
8815463,7/23/15,Apartment,Private room,$85.00,1,80,1
8329024,11/1/14,Apartment,Entire home/apt,$150.00,1,80,1
2918176,1/9/13,House,Entire home/apt,$450.00,8,80,1.04
347342,6/10/13,House,Entire home/apt,"$1,500.00",1,80,0.02
2409435,2/17/14,Apartment,Entire home/apt,$500.00,4,80,0.2
2493678,2/28/14,House,Entire home/apt,$375.00,1,80,0.13
5510194,8/15/13,Apartment,Entire home/apt,$300.00,1,80,0.13
2386616,2/12/14,Other,Entire home/apt,$100.00,2,80,1.67
2391170,9/30/12,House,Entire home/apt,$350.00,1,80,0.13
2367942,8/8/12,Apartment,Private room,$150.00,1,80,0.13
5759626,3/13/11,Apartment,Private room,$35.00,2,80,0.27
4751960,3/22/14,Apartment,Entire home/apt,$325.00,1,80,0.13
3041012,4/30/14,House,Entire home/apt,$410.00,2,80,0.25
6412627,4/13/15,House,Entire home/apt,$499.00,1,80,0.71
5326306,1/9/13,Apartment,Entire home/apt,$134.00,4,80,0.61
2267681,7/19/13,House,Entire home/apt,$300.00,2,80,0.26
2440391,2/19/14,House,Entire home/apt,$300.00,1,80,1
3924705,9/16/13,House,Entire home/apt,$390.00,1,80,0.13
1853474,10/28/13,House,Entire home/apt,$190.00,4,80,0.2
564424,1/17/12,House,Entire home/apt,"$1,250.00",1,80,0.13
2124726,9/11/12,House,Entire home/apt,$500.00,1,80,0.14
3999345,8/30/14,House,Entire home/apt,$700.00,1,80,0.13
953463,2/1/10,House,Entire home/apt,$500.00,1,80,0.05
4174940,2/10/13,Apartment,Entire home/apt,$250.00,2,80,2
8732171,6/19/12,House,Entire home/apt,$95.00,3,80,3
7913233,8/14/13,House,Entire home/apt,$239.00,1,80,1
5491054,2/27/15,House,Private room,$100.00,2,80,0.25
5251600,7/29/14,House,Entire home/apt,$999.00,1,80,0.13
1628288,2/21/13,House,Private room,$50.00,4,80,0.17
5594013,9/14/12,House,Entire home/apt,$350.00,3,80,0.54
6041921,4/13/15,House,Entire home/apt,$113.00,2,80,1.62
7693350,3/14/14,House,Private room,$500.00,1,80,0.53
4941198,8/6/14,House,Entire home/apt,$650.00,1,80,0.13
5136870,1/12/15,House,Entire home/apt,$900.00,1,80,0.13
7659628,6/4/13,House,Entire home/apt,$200.00,1,80,1
8816617,11/7/14,House,Entire home/apt,$89.00,2,80,2
2338871,8/7/11,House,Entire home/apt,$299.00,1,80,0.08
2355556,10/2/13,House,Private room,$125.00,2,80,1.76
4365483,10/17/14,Loft,Private room,$175.00,2,80,0.25
2386693,2/12/14,House,Entire home/apt,$700.00,1,80,0.13
6078399,4/19/15,Apartment,Private room,$120.00,1,80,0.18
8887937,9/8/15,Apartment,Private room,$35.00,1,80,1
5851049,2/3/15,House,Entire home/apt,$125.00,2,80,0.31
2193591,10/4/11,House,Private room,$99.00,1,80,0.06
9077780,9/8/15,Apartment,Private room,$45.00,2,80,2
6686489,5/21/13,House,Private room,$40.00,1,80,0.25
8116990,8/11/15,House,Entire home/apt,$499.00,1,80,0.61
4129530,9/16/14,House,Entire home/apt,$200.00,2,80,0.29
4204316,5/11/11,House,Entire home/apt,$200.00,4,80,0.3
2459034,1/9/13,House,Entire home/apt,$157.00,3,80,0.16
8667342,9/18/15,House,Private room,$69.00,2,80,2
5241591,2/2/15,House,Private room,$100.00,1,80,0.13
3121477,5/20/14,House,Entire home/apt,$373.00,1,80,0.25
1892797,2/18/13,House,Private room,$99.00,1,80,0.86
6374770,1/29/14,House,Private room,$40.00,2,80,0.35
8238039,9/5/15,Apartment,Entire home/apt,$110.00,1,80,1
6690195,6/4/15,Apartment,Entire home/apt,$69.00,10,80,2.24
172104,6/26/11,House,Entire home/apt,$100.00,1,80,0.25
5447513,2/23/15,Apartment,Private room,$100.00,1,80,0.13
5729004,3/19/15,House,Shared room,$20.00,5,80,0.71
4308274,5/30/12,House,Private room,$27.00,1,80,0.13
8780307,3/6/12,House,Private room,$60.00,1,80,1
7805994,5/11/11,House,Entire home/apt,$149.00,1,80,0.39
1095272,7/14/12,Apartment,Entire home/apt,$85.00,2,80,0.11
8687660,7/4/15,Apartment,Shared room,$95.00,1,80,1
5339280,4/8/13,Townhouse,Entire home/apt,$236.00,1,80,0.18
1835674,1/9/13,House,Entire home/apt,$978.00,2,80,0.11
7884925,8/15/15,Apartment,Entire home/apt,$500.00,1,80,0.83
6409942,5/12/14,Apartment,Private room,$50.00,17,80,2.9
596342,7/15/12,House,Entire home/apt,"$1,000.00",1,80,0.08
6114034,4/22/15,House,Entire home/apt,"$1,099.00",2,80,0.45
5537904,3/3/15,House,Entire home/apt,$148.00,2,80,1.76
4302003,1/9/13,House,Entire home/apt,$700.00,2,80,0.32
5394189,2/19/12,Apartment,Entire home/apt,$245.00,3,80,0.38
8036927,1/6/15,Apartment,Private room,$60.00,2,80,1.82
4227496,9/29/14,Apartment,Entire home/apt,$249.00,2,80,0.25
5124034,5/4/14,House,Private room,$150.00,3,80,0.38
5319366,10/21/12,House,Entire home/apt,$400.00,1,80,0.13
8338265,9/11/15,Apartment,Entire home/apt,$75.00,3,80,2.09
5250965,1/9/13,House,Entire home/apt,$299.00,1,80,0.2
8573094,9/26/15,Apartment,Entire home/apt,$105.00,1,80,0.88
5606566,2/10/15,Apartment,Private room,$150.00,10,80,1.3
5606908,9/6/09,Apartment,Private room,$90.00,2,80,0.3
8523350,9/22/15,Apartment,Private room,$99.00,2,80,1.76
8294659,9/9/15,Apartment,Entire home/apt,$250.00,2,80,2
1906703,11/8/13,House,Entire home/apt,$400.00,3,80,0.16
758470,10/29/11,House,Private room,$135.00,4,80,0.12
7574368,4/29/13,Condominium,Entire home/apt,$60.00,1,80,0.34
6689988,3/6/15,Apartment,Entire home/apt,$155.00,2,80,1.87
8755584,10/6/15,Apartment,Entire home/apt,$200.00,2,80,2
7957247,1/6/15,Apartment,Entire home/apt,$70.00,2,80,1.46
8580206,9/26/15,Apartment,Shared room,$80.00,2,80,1.71
8524887,9/23/15,Apartment,Entire home/apt,$275.00,1,80,0.83
8387834,9/14/15,House,Private room,$100.00,2,80,2
2424756,2/19/14,House,Entire home/apt,$135.00,1,80,0.05
8084375,8/7/11,Apartment,Entire home/apt,$199.00,2,80,1.71
8368652,3/9/15,Apartment,Shared room,$50.00,4,80,2.73
9004408,3/26/15,Apartment,Shared room,$50.00,1,80,1
783856,11/10/12,Bed & Breakfast,Private room,$125.00,2,80,0.1
5336049,1/9/13,House,Entire home/apt,$138.00,7,80,1.15
4205393,8/10/11,Apartment,Entire home/apt,$225.00,1,80,1
4824235,12/14/14,Apartment,Entire home/apt,$200.00,2,80,0.25
2663425,3/17/14,House,Entire home/apt,$799.00,4,80,0.26
8954309,9/4/15,Apartment,Entire home/apt,$400.00,1,80,1
4234150,3/17/14,Apartment,Entire home/apt,$150.00,1,80,0.08
4216130,8/29/12,Treehouse,Entire home/apt,$350.00,1,80,1
8923047,10/15/15,Apartment,Private room,$30.00,4,80,4
5572837,3/7/15,Apartment,Entire home/apt,$499.00,1,80,0.13
5414562,2/20/15,Apartment,Private room,$150.00,1,80,0.24
6404272,12/28/10,Apartment,Private room,$35.00,1,80,0.18
2461349,2/25/14,House,Shared room,$120.00,1,80,0.13
8133741,8/12/15,Apartment,Private room,$75.00,1,80,1
8384336,9/14/15,Apartment,Entire home/apt,$100.00,1,80,1
1594441,2/18/13,Other,Entire home/apt,$250.00,1,80,0.16
2502288,3/4/14,Apartment,Private room,$115.00,2,80,0.1
8355814,7/3/15,Apartment,Entire home/apt,$109.00,3,80,2.81
8555205,11/18/13,House,Private room,$140.00,1,80,1
8635780,7/12/12,House,Entire home/apt,$100.00,2,80,2
5629827,3/11/15,Apartment,Private room,$70.00,2,80,0.95
2273696,1/9/13,House,Entire home/apt,$599.00,1,80,0.73
4849800,4/28/12,Apartment,Private room,$85.00,1,80,0.13
4309402,1/9/13,House,Entire home/apt,$999.00,2,80,0.39
8408239,8/13/15,Apartment,Entire home/apt,$250.00,2,80,1.71
7839215,6/6/14,House,Entire home/apt,$199.00,4,80,3.64
5587184,3/8/15,House,Private room,$80.00,1,80,0.13
7414818,6/4/15,House,Entire home/apt,$250.00,1,80,1
8697760,6/7/15,House,Entire home/apt,$140.00,2,80,2
3425069,6/25/14,House,Entire home/apt,$200.00,1,80,0.23
3486582,7/2/14,House,Private room,$80.00,1,80,0.1
5319080,2/10/15,Apartment,Entire home/apt,$170.00,2,80,0.25
7985146,8/16/15,Condominium,Entire home/apt,$45.00,1,80,0.48
5337893,2/12/15,House,Entire home/apt,$150.00,2,80,0.26
8409836,9/15/15,House,Private room,$43.00,7,80,6
5374713,6/21/11,House,Private room,$148.00,1,80,0.13
5440292,2/23/15,House,Private room,$75.00,1,80,0.13
4370174,2/29/12,Apartment,Private room,$60.00,4,80,0.37
6118190,2/6/12,House,Entire home/apt,$325.00,4,80,0.69
4677251,1/9/13,House,Entire home/apt,$999.00,1,80,1
6660551,5/20/15,Apartment,Private room,$39.00,15,81,3.6
3513359,8/26/11,House,Entire home/apt,$64.00,25,81,1.6
4219268,9/18/14,House,Private room,$45.00,18,81,1.91
4436163,10/27/14,Cabin,Entire home/apt,$108.00,39,82,3.56
8209624,2/11/13,Condominium,Entire home/apt,$80.00,12,82,5.71
4051142,9/6/14,Apartment,Entire home/apt,$200.00,15,82,1.21
7226898,7/7/15,House,Private room,$39.00,10,82,2.52
2934061,1/9/13,Apartment,Entire home/apt,$250.00,22,82,1.27
6749902,6/1/15,House,Private room,$36.00,8,83,1.86
702785,9/18/12,House,Entire home/apt,$150.00,1,83,0.03
953521,2/21/13,Apartment,Private room,$50.00,10,83,0.33
3806508,11/30/13,House,Entire home/apt,$349.00,8,83,1.15
1687956,1/9/13,House,Entire home/apt,$149.00,2,83,0.1
1754919,7/31/11,House,Entire home/apt,$220.00,12,83,0.57
4809253,1/9/13,House,Entire home/apt,$145.00,7,83,0.71
6197423,4/28/15,Apartment,Entire home/apt,$80.00,11,83,1.96
8171066,1/30/13,Apartment,Entire home/apt,$95.00,6,83,3.05
1511053,8/10/13,Apartment,Shared room,$30.00,69,83,2.74
5279482,1/9/13,House,Entire home/apt,$199.00,8,83,1.03
2439970,2/22/14,Apartment,Private room,$275.00,1,83,0.05
5565604,10/8/14,House,Entire home/apt,$106.00,5,84,0.67
5708946,9/21/14,Apartment,Entire home/apt,$169.00,5,84,0.68
8421657,10/21/14,Apartment,Entire home/apt,$75.00,5,84,3.13
4161098,1/16/14,Apartment,Private room,$95.00,12,84,0.9
4050950,2/18/12,House,Entire home/apt,$115.00,21,84,1.53
4104624,9/13/14,Apartment,Entire home/apt,$125.00,5,84,0.42
6661108,2/11/11,House,Entire home/apt,$600.00,6,84,1.96
5729029,3/19/15,House,Shared room,$15.00,10,84,1.3
2066860,1/9/13,House,Entire home/apt,$149.00,10,84,0.46
915082,1/30/13,Apartment,Entire home/apt,$185.00,13,84,0.41
8688699,7/17/14,House,Private room,$50.00,5,84,5
4571293,3/28/12,Apartment,Entire home/apt,$100.00,25,84,2.5
7901374,6/11/15,Apartment,Entire home/apt,$87.00,5,84,1.95
2710898,11/13/13,House,Entire home/apt,$95.00,16,84,0.98
3914437,3/10/14,House,Private room,$39.00,14,84,0.98
7836824,8/12/15,House,Private room,$60.00,9,84,3.8
1745254,1/9/13,House,Entire home/apt,$172.00,13,84,0.59
4371967,6/23/14,Apartment,Entire home/apt,$129.00,11,85,0.95
6449935,5/12/15,Apartment,Private room,$33.00,28,85,5
5211601,1/30/15,Apartment,Entire home/apt,$80.00,4,85,0.63
5593238,12/3/10,House,Entire home/apt,$85.00,5,85,0.63
8026649,8/20/15,Apartment,Entire home/apt,$150.00,4,85,1.71
364025,3/1/12,Apartment,Entire home/apt,$190.00,4,85,0.12
2502263,11/30/13,House,Private room,$79.00,90,85,4.43
4293731,7/8/11,House,Entire home/apt,$450.00,4,85,0.38
5170888,1/21/11,House,Private room,$99.00,25,85,3.1
1560394,1/9/13,House,Entire home/apt,$287.00,24,85,1.02
8064028,8/17/15,House,Entire home/apt,$80.00,11,85,4.71
2265,8/23/08,House,Entire home/apt,$175.00,12,85,0.15
6169517,2/26/14,Apartment,Private room,$55.00,4,85,0.82
8320268,2/19/13,House,Private room,$38.00,4,85,2.14
3880179,2/26/13,Apartment,Entire home/apt,$200.00,11,85,0.76
8538834,9/12/11,Apartment,Entire home/apt,$120.00,4,85,4
1835131,1/9/13,House,Entire home/apt,$287.00,10,85,0.4
2754525,1/9/13,House,Entire home/apt,$258.00,4,85,0.26
1868668,1/9/13,House,Entire home/apt,"$1,000.00",19,85,0.94
1683155,1/9/13,House,Entire home/apt,$172.00,25,85,1.21
6643982,6/1/15,Apartment,Entire home/apt,$80.00,4,85,0.94
3154788,7/21/10,House,Private room,$125.00,4,85,0.26
918204,11/8/12,House,Entire home/apt,$144.00,73,85,3.6
7317518,1/24/14,Apartment,Entire home/apt,$80.00,14,85,3.62
337796,2/7/12,House,Private room,$100.00,2,85,0.05
5384959,7/8/13,House,Private room,$35.00,20,85,2.56
3440546,1/9/13,Apartment,Entire home/apt,$250.00,12,85,0.87
5040775,3/11/13,Apartment,Entire home/apt,$60.00,14,86,1.5
1896500,7/12/12,Apartment,Entire home/apt,$85.00,18,86,0.74
6460616,11/13/13,Apartment,Entire home/apt,$69.00,7,86,1.65
319958,1/23/12,House,Entire home/apt,$750.00,1,86,0.02
956655,3/3/08,Apartment,Private room,$50.00,1,86,0.03
1678667,9/16/13,Apartment,Entire home/apt,$125.00,7,86,0.36
5618773,3/24/13,Apartment,Private room,$95.00,7,86,1.64
2075504,1/9/13,House,Entire home/apt,$169.00,17,86,0.88
346734,1/30/12,House,Entire home/apt,$750.00,10,86,0.23
3293477,12/9/13,House,Private room,$60.00,20,86,1.26
2950441,2/12/13,House,Private room,$85.00,8,86,0.45
2493595,5/24/13,Apartment,Entire home/apt,$450.00,1,86,0.05
1783665,3/20/13,House,Entire home/apt,$79.00,7,86,0.28
240541,10/4/11,Cabin,Entire home/apt,$68.00,98,86,2.17
3781639,8/3/14,House,Private room,$55.00,17,86,1.28
8047684,8/25/15,House,Entire home/apt,$80.00,7,86,3.23
5475507,2/26/15,House,Entire home/apt,$199.00,10,86,1.68
5359587,10/26/13,House,Private room,$30.00,10,86,1.35
3912916,8/19/14,Apartment,Entire home/apt,$110.00,20,86,1.39
353955,2/22/12,Apartment,Entire home/apt,$225.00,1,86,0.02
2011847,11/30/13,House,Private room,$79.00,111,86,4.76
6629676,6/1/15,House,Private room,$36.00,6,87,1.17
753947,10/24/12,House,Entire home/apt,"$1,250.00",6,87,0.41
1830545,4/5/11,House,Entire home/apt,$99.00,6,87,0.26
8540638,6/24/11,House,Private room,$50.00,6,87,4.39
6316931,5/7/15,Apartment,Entire home/apt,$75.00,3,87,0.52
606595,9/25/09,House,Entire home/apt,$189.00,6,87,0.42
557128,6/25/12,House,Private room,$199.00,3,87,0.14
2249281,2/23/12,House,Private room,$75.00,40,87,2.05
772452,2/23/12,House,Entire home/apt,$200.00,13,87,0.4
770997,11/5/12,Apartment,Entire home/apt,$250.00,3,87,0.09
5629660,3/11/15,Apartment,Shared room,$23.00,14,87,2.36
5715912,12/4/14,Apartment,Private room,$60.00,3,87,0.51
4809429,12/12/14,Apartment,Entire home/apt,$150.00,3,87,0.86
4064803,9/8/14,Apartment,Entire home/apt,$345.00,4,87,0.36
2515481,11/30/13,House,Private room,$79.00,68,87,3.38
5434388,11/30/13,House,Private room,$69.00,40,87,5.63
6478540,5/20/15,House,Private room,$69.00,26,87,4.59
1021657,2/21/13,Apartment,Private room,$50.00,4,87,0.22
1644692,9/9/13,Apartment,Entire home/apt,$250.00,3,87,0.13
6093795,11/15/14,House,Entire home/apt,$300.00,3,87,0.49
8460590,8/19/13,Condominium,Private room,$70.00,3,87,2.2
5171069,1/21/11,House,Entire home/apt,$250.00,3,87,0.79
5434382,11/30/13,House,Private room,$69.00,35,87,4.43
8423582,2/9/12,House,Entire home/apt,$945.00,3,87,2.65
5048745,7/14/14,House,Entire home/apt,$150.00,3,87,0.39
356521,6/9/11,House,Private room,$36.00,28,87,0.63
2084252,6/9/11,Other,Private room,$44.00,21,87,1.04
7398569,7/16/13,House,Entire home/apt,$140.00,3,87,1.08
4205630,9/26/14,House,Entire home/apt,$186.00,6,87,0.49
4234697,11/11/12,House,Entire home/apt,$315.00,3,87,0.42
5518172,4/28/13,Apartment,Shared room,$105.00,3,87,0.38
4994857,1/7/15,Apartment,Entire home/apt,$259.00,9,87,1.02
4786928,12/9/14,House,Entire home/apt,$500.00,3,87,0.38
7955026,2/6/13,House,Entire home/apt,$130.00,3,87,2
5431431,,Apartment,Entire home/apt,$100.00,3,87,0.38
5477417,2/19/15,Apartment,Entire home/apt,$140.00,3,87,1.18
346316,2/15/12,House,Entire home/apt,"$1,250.00",3,87,1.84
1592098,6/18/13,Earth House,Private room,$125.00,7,87,0.35
5403259,10/29/11,House,Private room,$99.00,10,87,1.17
4056564,7/25/13,Apartment,Entire home/apt,$125.00,52,87,3.75
359757,2/27/12,Apartment,Entire home/apt,$150.00,6,87,0.14
847982,10/11/11,House,Entire home/apt,$145.00,25,87,0.77
8907271,10/8/14,Apartment,Private room,$115.00,3,87,3
3958601,12/9/11,House,Entire home/apt,$150.00,3,87,0.23
8384536,4/8/14,House,Entire home/apt,$100.00,4,87,2.5
4233217,9/30/14,Apartment,Entire home/apt,$99.00,27,87,2.07
8608422,9/28/15,Apartment,Entire home/apt,$149.00,4,87,3.53
7717080,1/9/14,Condominium,Entire home/apt,$175.00,3,87,2.5
8498680,4/29/15,Apartment,Entire home/apt,$120.00,3,87,3
5768194,3/5/13,House,Private room,$80.00,3,87,1
5537620,10/18/11,House,Entire home/apt,$185.00,3,87,0.36
7789212,8/9/15,Apartment,Entire home/apt,$109.00,3,87,2.65
5289026,11/3/13,Apartment,Private room,$99.00,9,87,1.07
4191216,5/20/14,Apartment,Entire home/apt,$229.00,20,87,1.47
3104715,5/20/14,Apartment,Entire home/apt,$229.00,20,87,1.16
2021663,11/30/13,House,Private room,$79.00,125,87,5.41
6767570,2/21/12,Apartment,Private room,$110.00,10,87,3.26
4156939,9/21/14,Apartment,Entire home/apt,$163.00,32,88,2.62
539839,5/28/12,House,Entire home/apt,$135.00,31,88,0.9
4216598,9/28/14,House,Entire home/apt,$150.00,5,88,0.64
3969288,1/9/13,House,Entire home/apt,$350.00,6,88,0.44
5370183,5/19/14,House,Private room,$56.00,5,88,0.63
1717090,9/25/13,House,Entire home/apt,$265.00,20,88,0.82
3163510,5/27/14,Apartment,Entire home/apt,$115.00,73,88,5.29
5293851,2/8/15,Apartment,Private room,$80.00,5,88,0.63
