id,host_since,property_type,room_type,price,number_of_reviews,review_scores_rating,reviews_per_month
11626139,4/20/14,House,Shared room,$30.00,11,86,6.6
10696163,4/14/14,Apartment,Private room,$50.00,11,98,6.6
11164840,8/5/14,Apartment,Private room,$80.00,18,91,6.59
7718995,12/24/14,Apartment,Private room,$179.00,58,98,6.57
4550557,11/10/14,Apartment,Private room,$65.00,117,94,6.56
6545392,5/6/15,Apartment,Private room,$39.00,73,94,6.56
9130275,10/27/15,Apartment,Entire home/apt,$179.00,40,99,6.56
11570785,2/27/16,Apartment,Entire home/apt,$195.00,12,100,6.55
10233626,11/4/12,Apartment,Entire home/apt,$695.00,26,94,6.55
10052012,9/11/15,Apartment,Entire home/apt,$129.00,29,95,6.54
11744004,4/20/14,House,Shared room,$30.00,10,80,6.52
8907184,9/23/13,Apartment,Entire home/apt,$249.00,43,94,6.52
7672817,7/12/14,Apartment,Entire home/apt,$157.00,23,96,6.51
7441587,8/7/13,Apartment,Entire home/apt,$110.00,61,94,6.49
11418938,2/15/15,Apartment,Private room,$90.00,11,93,6.47
11020169,2/2/16,Apartment,Entire home/apt,$79.00,17,100,6.46
10362016,6/16/14,Apartment,Private room,$70.00,23,84,6.45
6654863,6/2/15,Apartment,Entire home/apt,$169.00,67,91,6.44
3771656,8/2/14,Apartment,Private room,$95.00,135,88,6.43
2473371,8/12/11,Apartment,Entire home/apt,$246.00,167,94,6.41
10246134,8/14/14,Apartment,Entire home/apt,$125.00,17,92,6.37
10847129,6/24/15,Apartment,Private room,$36.00,7,74,6.36
9577436,5/6/15,Apartment,Private room,$39.00,33,90,6.35
6139987,4/24/15,House,Private room,$40.00,75,93,6.34
11303934,7/11/15,Apartment,Entire home/apt,$99.00,15,97,6.34
9433088,5/25/15,Apartment,Private room,$60.00,15,88,6.34
3678990,7/14/13,Apartment,Private room,$69.00,130,97,6.33
10386998,7/31/11,Apartment,Private room,$129.00,23,100,6.33
6027345,9/10/08,Apartment,Private room,$62.00,76,94,6.3
8016747,11/26/11,Apartment,Entire home/apt,$114.00,46,96,6.27
2284027,8/29/13,Apartment,Private room,$65.00,170,93,6.26
8337340,1/11/12,Apartment,Private room,$95.00,48,92,6.26
11242319,11/10/14,Apartment,Private room,$98.00,10,100,6.25
6800799,3/2/15,Apartment,Entire home/apt,$260.00,63,92,6.22
11121959,10/31/15,Apartment,Private room,$50.00,17,96,6.22
8436207,11/11/11,House,Private room,$59.00,46,99,6.22
10708300,1/19/16,Apartment,Private room,$70.00,18,96,6.21
10226626,12/28/15,Apartment,Entire home/apt,$72.00,25,94,6.2
7519448,7/24/15,Apartment,Entire home/apt,$220.00,57,99,6.2
8798516,9/7/14,Apartment,Private room,$125.00,42,93,6.18
1843891,11/13/12,Apartment,Private room,$63.00,61,84,6.18
7227988,6/30/11,Apartment,Private room,$56.00,61,92,6.16
9391509,11/10/15,Townhouse,Entire home/apt,$130.00,25,100,6.15
5590718,8/4/13,Apartment,Private room,$65.00,8,100,6.15
11839668,3/13/16,Apartment,Entire home/apt,$275.00,8,100,6.15
3474320,3/9/14,Apartment,Entire home/apt,$160.00,130,98,6.14
6194377,4/10/14,Apartment,Private room,$93.00,69,92,6.14
2760968,4/10/14,Apartment,Private room,$82.00,149,96,6.14
5992686,1/5/14,House,Private room,$50.00,77,95,6.13
7858468,8/31/13,Apartment,Private room,$82.00,49,97,6.13
8090817,8/27/15,Apartment,Private room,$99.00,50,81,6.12
9475812,11/15/15,Apartment,Entire home/apt,$108.00,31,89,6.12
8144148,9/9/14,Apartment,Private room,$80.00,22,97,6.11
11044453,2/1/16,Apartment,Private room,$51.00,11,84,6.11
8635762,9/29/15,House,Private room,$45.00,11,100,6.11
4161354,7/10/14,Apartment,Private room,$65.00,11,95,6.11
9415873,4/11/15,Apartment,Private room,$70.00,11,96,6.11
1093570,4/20/13,House,Private room,$90.00,173,88,6.1
11456592,2/24/16,Apartment,Entire home/apt,$125.00,13,98,6.09
1399448,7/17/13,Apartment,Entire home/apt,$250.00,107,86,6.09
8055721,8/1/15,House,Private room,$79.00,47,94,6.08
9504657,5/3/14,Apartment,Private room,$45.00,32,91,6.08
9923887,7/4/14,Apartment,Private room,$50.00,16,98,6.08
6783841,6/10/15,Apartment,Entire home/apt,$130.00,61,96,6.06
2950760,4/20/13,House,Private room,$49.00,147,90,6.06
