id,host_since,property_type,room_type,price,number_of_reviews,review_scores_rating,reviews_per_month
7380470,7/16/15,House,Entire home/apt,$179.00,15,93,6.25
4263520,10/4/14,House,Entire home/apt,$130.00,51,93,6.24
1716843,6/20/13,Apartment,Entire home/apt,$168.00,152,95,6.21
3155265,3/18/10,House,Entire home/apt,$122.00,69,90,6.2
5432751,1/28/15,Apartment,Entire home/apt,$109.00,40,99,6.19
1716922,6/20/13,Apartment,Entire home/apt,$168.00,150,94,6.18
7821473,8/11/15,Apartment,Entire home/apt,$87.00,7,77,6.18
6186712,6/11/13,Apartment,Entire home/apt,$150.00,28,96,6.18
5271122,9/4/14,House,Private room,$60.00,48,85,6.15
4729118,12/2/14,Apartment,Entire home/apt,$180.00,48,99,6.13
2517969,6/21/13,House,Private room,$64.00,115,94,6.1
7062828,6/29/15,Condominium,Entire home/apt,$75.00,14,97,6.09
2343987,2/5/14,House,Private room,$50.00,119,94,6.08
6317904,3/15/15,House,Private room,$65.00,27,84,6.04
4777213,11/30/14,House,Private room,$95.00,59,97,6.04
4884217,5/12/13,Apartment,Entire home/apt,$95.00,43,99,6.03
7746671,5/1/15,Apartment,Private room,$60.00,6,70,6
7915142,5/16/11,House,Private room,$85.00,6,97,6
7163781,7/5/15,Apartment,Entire home/apt,$130.00,6,90,6
7428569,7/19/15,Apartment,Entire home/apt,$100.00,10,100,6
6288146,3/2/11,House,Private room,$69.00,28,94,6
7913224,8/17/15,House,Private room,$49.00,6,100,6
6404701,4/28/15,Apartment,Private room,$59.00,26,87,5.95
7112427,6/25/15,Apartment,Private room,$58.00,14,93,5.92
6523994,4/25/15,Apartment,Entire home/apt,$115.00,24,93,5.9
4789130,12/14/08,House,Private room,$95.00,53,92,5.89
1048797,1/8/13,House,Private room,$70.00,177,95,5.88
3953560,6/24/14,House,Private room,$79.00,75,97,5.87
7837425,7/27/15,House,Private room,$59.00,9,70,5.87
5037503,12/3/11,Apartment,Entire home/apt,$220.00,50,94,5.79
7349796,7/14/15,Apartment,Private room,$71.00,11,95,5.79
7208196,7/7/15,Townhouse,Entire home/apt,$249.00,14,97,5.75
5319716,6/6/11,Apartment,Entire home/apt,$100.00,44,98,5.74
1839803,8/2/11,House,Private room,$68.00,135,94,5.74
4233718,9/29/14,House,Entire home/apt,$110.00,61,89,5.72
4597473,7/25/14,House,Private room,$50.00,23,88,5.7
5267060,5/5/14,Apartment,Entire home/apt,$85.00,45,98,5.7
5405966,12/29/14,House,Entire home/apt,$115.00,41,97,5.69
7514236,7/8/15,Other,Shared room,$36.00,11,82,5.69
4481897,11/2/14,Apartment,Private room,$95.00,7,100,5.68
7309609,7/5/15,Apartment,Shared room,$47.00,14,97,5.68
5690193,3/17/15,Condominium,Private room,$105.00,34,90,5.64
4882039,12/22/14,Apartment,Entire home/apt,$149.00,46,93,5.63
32584,8/4/09,House,Entire home/apt,$129.00,362,94,5.61
2875616,4/24/14,House,Entire home/apt,$134.00,51,98,5.6
5772930,4/14/14,Apartment,Entire home/apt,$149.00,34,96,5.57
6317776,5/21/14,Apartment,Entire home/apt,$300.00,22,96,5.55
4385129,10/20/14,Apartment,Entire home/apt,$115.00,63,97,5.51
4536398,9/2/13,Apartment,Private room,$45.00,59,89,5.48
1488282,6/13/12,Apartment,Entire home/apt,$129.00,138,92,5.46
4612058,8/20/12,House,Private room,$67.00,55,89,5.45
7867265,8/17/11,Apartment,Entire home/apt,$69.00,6,97,5.45
6091385,10/21/12,House,Private room,$85.00,29,97,5.44
6346855,8/2/12,Apartment,Entire home/apt,$196.00,19,100,5.43
5814328,3/28/15,House,Entire home/apt,$300.00,32,98,5.42
4194598,9/25/14,House,Private room,$100.00,45,92,5.42
3419118,3/3/14,Apartment,Private room,$71.00,83,97,5.4
7629135,6/20/15,Apartment,Entire home/apt,$110.00,9,100,5.4
4730309,12/2/14,House,Entire home/apt,$110.00,39,94,5.39
2302031,1/29/14,House,Private room,$85.00,102,97,5.38
6286387,3/23/15,Apartment,Private room,$76.00,26,92,5.38
2198232,1/10/14,House,Private room,$73.00,100,97,5.37
6538226,5/25/15,Apartment,Entire home/apt,$99.00,22,99,5.37
7717276,5/26/15,House,Entire home/apt,$100.00,10,58,5.36
860336,4/15/11,House,Private room,$99.00,170,95,5.35
3957979,1/24/14,Apartment,Entire home/apt,$134.00,69,97,5.35
407014,8/4/09,Apartment,Entire home/apt,$149.00,215,93,5.33
5756520,3/23/15,Apartment,Private room,$56.00,31,85,5.31
7513344,7/21/15,Townhouse,Private room,$130.00,12,100,5.29
6939862,6/17/13,House,Private room,$65.00,18,99,5.29
4064835,9/4/14,House,Private room,$55.00,67,83,5.28
6071405,8/17/14,House,Entire home/apt,$150.00,19,84,5.28
4882316,2/9/12,House,Private room,$84.00,36,96,5.27
